"Titre","Auteur","Date partion","","Date prêt",""
"Agent hostile [texte imprimé] / Mick Herron ; roman traduit de l'anglais par Thomas Luchier","Herron,  Mick (Auteur)","2020","","Aug 11, 2023",""
"Comme son ombre / Val McDermid ; traduit de l'anglais (Ecosse) par Matthieu Farcot","McDermid,  Val (1955-....) ","2013","","Aug 11, 2023",""
"En sacrifice à Moloch [texte imprimé] : roman / Åsa Larsson ; traduit du suédois par Caroline Berg","Larsson,  Åsa (1966-....)  (Auteur)","","","Aug 23, 2023",""
"Jolies filles [texte imprimé] / Robert Bryndza ; traduit de l'anglais par Chloé Royer","Bryndza,  Robert (1979-....)  (Auteur)","2021","","Aug 11, 2023",""
"L'Heure du diable [texte imprimé] : roman","Bauwen,  Patrick (1968-....) ","2020","","Aug 2, 2023",""
"La chaîne [texte imprimé] : thriller / Adrian McKinty ; traduit de l'anglais (États-Unis) par Pierre Reignier","McKinty,  Adrian (1968-....)  (Auteur)","2020","","Aug 11, 2023",""
"La mort sur ses épaules [texte imprimé] / Jordan Farmer ; traduit de l'anglais (Etats-Unis) par Simon Baril","Farmer,  Jordan (Auteur)","2022","","Jul 22, 2023",""
"La sirène qui fume [texte imprimé] / Benjamin Dierstein ; préface de Caryl Férey","Dierstein,  Benjamin (Auteur)","","","Jul 22, 2023",""
"La valse de Méphisto [texte imprimé] / Frank Tallis ; traduit de l'anglais par Hélène Prouteau","Tallis,  Frank (Auteur)","","","Aug 23, 2023",""
"La voix [texte imprimé] : roman / Arnaldur Indriđason ; traduit de l'islandais par Éric Boury","Arnaldur Indriðason (1961-....)  (Auteur)","2008","","Aug 23, 2023",""
"Le Chinois [texte imprimé] : roman / Henning Mankell ; traduit du suédois par Rémi Cassaigne","Mankell,  Henning (1948-2015)  (Auteur)","2013","","Aug 23, 2023",""
"Le serpent aux mille coupures [texte imprimé] / DOA","DOA (1968-....)  (Auteur)","2009","","Jul 22, 2023",""
"Libre comme l'air [texte imprimé] / Sara Löverstam ; traduit du suédois par Esther Sermage","Lövestam,  Sara (1980-....)  (Auteur)","","","Aug 11, 2023",""
"Madame Ti mène l'enquête [texte imprimé] : roman / Frédéric Lenormand","Lenormand,  Frédéric (1964-....)  (Auteur)","2008","","Aug 23, 2023",""
"Maharajah [texte imprimé] / M. J. Carter ; traduit de l'anglais par Karine Lalechère","Carter,  Miranda (1965-....)  (Auteur)","2019","","Aug 2, 2023",""
"Manhattan chaos [texte imprimé] : inédit / Michaël Mention","Mention,  Michaël (1979-....)  (Auteur)","","","Aug 23, 2023",""
"Meurtre à Montaigne [texte imprimé] / Estelle Monbrun","Monbrun,  Estelle (Auteur)","","","Aug 2, 2023",""
"Pietà [texte imprimé] / Daniel Cole ; traduit de l'anglais (Royaume-Uni) par Magali Duez","Cole,  Daniel (1984-....)  (Auteur)","2021","","Aug 2, 2023",""
"Secrets barbares [texte imprimé] / Rodney Hall ; avant-propos inédit de Rodney Hall","Hall,  Rodney (1935-....)  (Auteur)","2020","","Jul 22, 2023",""
"Thé vert et arsenic [texte imprimé] : roman / Frédéric Lenormand","Lenormand,  Frédéric (1964-....)  (Auteur)","2015","","Aug 23, 2023",""
"Un prénom en trop [texte imprimé] : roman / Christophe Carlier","Carlier,  Christophe (1960-....)  (Auteur)","2022","","Aug 2, 2023",""
